series,x,y,source
txu_q_dense,0.0,0.0,digitized from attached paper Figure 1
txu_q_dense,0.02,231.2595,digitized from attached paper Figure 1
txu_q_dense,0.03,244.0061,digitized from attached paper Figure 1
txu_q_dense,0.04,285.8877,digitized from attached paper Figure 1
txu_q_dense,0.05,333.2322,digitized from attached paper Figure 1
txu_q_dense,0.075,393.3232,digitized from attached paper Figure 1
txu_q_dense,0.1,494.3854,digitized from attached paper Figure 1
txu_q_dense,0.125,553.1108,digitized from attached paper Figure 1
txu_q_dense,0.135,591.8058,digitized from attached paper Figure 1
txu_q_loose,0.0,0.0,digitized from attached paper Figure 1
txu_q_loose,0.005,95.5994,digitized from attached paper Figure 1
txu_q_loose,0.01,96.5099,digitized from attached paper Figure 1
txu_q_loose,0.02,69.1958,digitized from attached paper Figure 1
txu_q_loose,0.03,65.5539,digitized from attached paper Figure 1
txu_q_loose,0.04,60.091,digitized from attached paper Figure 1
txu_q_loose,0.05,60.091,digitized from attached paper Figure 1
txu_q_loose,0.075,61.0015,digitized from attached paper Figure 1
txu_q_loose,0.1,62.8225,digitized from attached paper Figure 1
txu_q_loose,0.125,63.7329,digitized from attached paper Figure 1
txu_q_loose,0.15,64.1882,digitized from attached paper Figure 1
txu_q_loose,0.175,64.6434,digitized from attached paper Figure 1
txu_q_loose,0.2,65.5539,digitized from attached paper Figure 1
txd_q_dense,0.0,0.0,digitized from attached paper Figure 1
txd_q_dense,0.01,238.6606,digitized from attached paper Figure 1
txd_q_dense,0.02,427.3973,digitized from attached paper Figure 1
txd_q_dense,0.03,519.9391,digitized from attached paper Figure 1
txd_q_dense,0.04,594.2161,digitized from attached paper Figure 1
txd_q_dense,0.05,614.9163,digitized from attached paper Figure 1
txd_q_dense,0.075,722.07,digitized from attached paper Figure 1
txd_q_dense,0.1,756.1644,digitized from attached paper Figure 1
txd_q_dense,0.125,771.9939,digitized from attached paper Figure 1
txd_q_dense,0.15,776.8645,digitized from attached paper Figure 1
txd_q_dense,0.175,774.4292,digitized from attached paper Figure 1
txd_q_dense,0.195,769.5586,digitized from attached paper Figure 1
txd_q_loose,0.0,0.0,digitized from attached paper Figure 1
txd_q_loose,0.01,20.7002,digitized from attached paper Figure 1
txd_q_loose,0.02,73.0594,digitized from attached paper Figure 1
txd_q_loose,0.03,92.5419,digitized from attached paper Figure 1
txd_q_loose,0.04,148.554,digitized from attached paper Figure 1
txd_q_loose,0.05,207.0015,digitized from attached paper Figure 1
txd_q_loose,0.075,280.0609,digitized from attached paper Figure 1
txd_q_loose,0.1,373.8204,digitized from attached paper Figure 1
txd_q_loose,0.125,432.2679,digitized from attached paper Figure 1
txd_q_loose,0.15,477.3212,digitized from attached paper Figure 1
txd_q_loose,0.175,513.8508,digitized from attached paper Figure 1
txd_q_loose,0.195,541.8569,digitized from attached paper Figure 1
txd_ev_dense,0.0,0.0,digitized from attached paper Figure 1
txd_ev_dense,0.01,0.005,digitized from attached paper Figure 1
txd_ev_dense,0.02,0.0123,digitized from attached paper Figure 1
txd_ev_dense,0.03,0.0123,digitized from attached paper Figure 1
txd_ev_dense,0.04,0.0147,digitized from attached paper Figure 1
txd_ev_dense,0.05,0.0149,digitized from attached paper Figure 1
txd_ev_dense,0.075,0.0128,digitized from attached paper Figure 1
txd_ev_dense,0.1,0.0089,digitized from attached paper Figure 1
txd_ev_dense,0.125,0.0048,digitized from attached paper Figure 1
txd_ev_dense,0.15,0.0008,digitized from attached paper Figure 1
txd_ev_dense,0.175,-0.0034,digitized from attached paper Figure 1
txd_ev_dense,0.195,-0.0069,digitized from attached paper Figure 1
txd_ev_loose,0.0,0.0,digitized from attached paper Figure 1
txd_ev_loose,0.01,0.0058,digitized from attached paper Figure 1
txd_ev_loose,0.02,0.0145,digitized from attached paper Figure 1
txd_ev_loose,0.03,0.0268,digitized from attached paper Figure 1
txd_ev_loose,0.04,0.0297,digitized from attached paper Figure 1
txd_ev_loose,0.05,0.0375,digitized from attached paper Figure 1
txd_ev_loose,0.075,0.0543,digitized from attached paper Figure 1
txd_ev_loose,0.1,0.0633,digitized from attached paper Figure 1
txd_ev_loose,0.125,0.07,digitized from attached paper Figure 1
txd_ev_loose,0.15,0.0759,digitized from attached paper Figure 1
